happy	sad	anger	fear	surprise	disgust
\u263a\ufe0f	\ude1e	\udc7f	\ude13	\ude15	\ude37
\ude00	\ude22	\ude20	\ude1f	\ude16	\ude2c 
\ude02	\ude23	\ude21	\ude28	\ude2e	disgustedli
\ude03	\ude25	\ude24	\ude31	\ude2f	shock
\ude04	\ude26	\ude3e	\ude30	\ude32	shockingli
\ude05	\ude27	>:s	\ude40	\ude33	dislik
\ude06	\ude29	>:	:-o	\ude35	avers
\ude07	\ude2b	:@	:$	surpris	repuls
\ude0a	\ude2d	helpless	o_o	surprisedli	distast
\ude0b	\ude12	helplessli	timid	baffl	loath
\ude0c	\ude3f	furiou	timidli	bafflement	loathsom
\ude0d	\ude2a	furious	uneasi	bewild	revuls
\ude17	\ude0f	furi	uneasili	bewilder	abhor
\ude18	:(	infuri	tens	bewilderedli	abhorr
\ude19	= (	infuriatingli	nervou	directionless	abomin
\ude1a	:^(	annoy	nervous	directionlessli	detest
\ude38	cri	annoyedli	nerv	fluster	repugn
\ude39	grief	jealou	insecur	flusteredli	antipathi
\ude3a	griev	jealous	coward	awkward	shame
\ude3b	grievou	envi	cowardli	awkwardli	shamedli
\ude3d	lone	enviou	cowardic	disorgan	asham
\ude01	loneli	envious	worri	disorganizedli	ashamedli
:-)	alon	enrag	worriedli	foggi	vile
:d	disappoint	frustrat	afraid	foggili	viler
:3	disappointedli	frustratedli	fear	hesit	vilest
posit	hopeless	impati	threaten	hesitantli	filth
lucki	hopelessli	irrit	threat	misunderstood	filthi
great	depress	irritatedli	frighten	misunderstand	
excel	depressedli	resent	fright	perplex	
fine	miser	powerless	frightenedli	perplexedli	
nice	miseri	powerlessli	intimid	puzzl	
desir	empti	impot	intimidatedli	puzzledli	
exquisit	lost	detest	anxiou	bother	
fabul	lose	agit	anxious	botheredli	
ideal	loss	agitatedli	anxieti	distract	
marvel	loser	mad	panic	distractedli	
perfect	regret	madder	panick	uncertain	
perfectli	disconnect	critic	panicki	uncertainli	
splendid	disconnectedli	outrag	shaki	uncertainti	
splendidli	bore	outragedli	shakili	uncomfort	
wonder	boredli	rage	shaken	undecid	
classi	boredom	seeth	horrifi	undecidedli	
eleg	neg	livid	horrifiedli	unsettl	
elegantli	bad	lividli	terrifi	unsettledli	
beauti	wors	bitter	terrifiedli	unsur	
dazzl	worst	abus	appal	unsureti	
dazzlingli	aw	betray	appalledli		
amaz	wretch	hate	desper		
amazingli	wretchedli	hatr	dread		
magnific	deplor	hostil	frantic		
sensat	pathet	incens	petrifi		
super	sorri	piss off	petrifiedli		
superb	sorrow	rebelli	petrif		
superbl	unworthi	repuls	alarm		
excit	worthless	veng	alarmedli		
excitedli	abysm	fume	apprehens		
joy	gloomi	fumingli	defens		
carefre	gloomili	spite	suspici		
ecstat	gloom	vindict	concern		
ecstasi	disturb	vintict	concernedli		
motiv	unhappi	vidict	doubt		
delight	unhappili	aggrav	reluct		
play	hurt	aggravatedli	reluctantli		
curiou	distress	provok	shi		
curious	heartbroken	provokedli	shyli		
curios	heartbrokenli	displeas	shyness		
inspir	heartbreak	displeasingli	scare		
impress	terribl	angri	scaredli		
engag	crush	angrili	wari		
affect	devast	aggress	warili		
affection	devastatedli	aggres	menac		
compass	run-down	attack	menacingli		
compassion	low		troubl		
love	stress		hyster		
funni	stressedli		hysteria		
caringli	vulner		paralyz		
grate	defenseless		paralysi		
gratifi	insecur		restless		
gratif	discourag		scari		
passion	overwhelm				
accept	overwhelmedli				
reliev	deject				
relief	dejectedli				
hope	exhaust				
seren	exhaustedli				
calm	reject				
calmli	unlov				
peac	wound				
appreci	burden				
confid	demor				
capabl	distraught				
fulfil	mourn				
brave	piti				
braveri	dishearten				
glad	dismal				
gladli	neglect				
friendli	unappreci				
kind	upset				
kindli	abandon				
gener	alien				
generos	apathet				
light-heart	apathi				
light-heartedli	sadli				
light-hearted	sad				
amus					
amusedli					
cheer					
cheeri					
optimist					
optim					
spirit					
bounci					
anim					
elat					
elatedli					
exuber					
exuberantli					
enthusiast					
enthus					
enthusiasm					
jubil					
jubilantli					
thrill					
thrilledli					
uplift					
encourag					
valu					
content					
contentedli					
fortun					
satisfi					
satisfiedli					
happili					
happi					
:)					
